Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhang, J., Shao, J., Zheng, L., Shen, Y., Zhao, X.","57224089500; 57224082736; 57224076808; 36969881200; 57224098330","Comparative clinical accuracy analysis of the newly developed ZZ IOL and four existing IOL formulas for post-corneal refractive surgery eyes",2021,"BMC Ophthalmology",21,"1", 231,,,,,10.1186/s12886-021-01991-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106897369&partnerID=40&md5=74343c246cb152d817dace6709d37ba2",Article,Final,Open Access,Scopus,2-s2.0-85106897369
"Son, H.-S., Łabuz, G., Khoramnia, R., Yildirim, T.M., Auffarth, G.U.","56785136000; 56786445400; 13605192200; 57190174430; 7004509773","Laboratory analysis and ray visualization of diffractive optics with enhanced intermediate vision",2021,"BMC Ophthalmology",21,"1", 197,,,,,10.1186/s12886-021-01958-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105190828&partnerID=40&md5=866b12502a46efd4762ef3684bfe039b",Article,Final,Open Access,Scopus,2-s2.0-85105190828
"Zhang, Y., Li, T., Reddy, A., Nallasamy, N.","57211609895; 57221512235; 57218484937; 26531640300","Gender differences in refraction prediction error of five formulas for cataract surgery",2021,"BMC Ophthalmology",21,"1", 183,,,,,10.1186/s12886-021-01950-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104599691&partnerID=40&md5=fc9659fb403ba4513fb9b6f669928136",Article,Final,Open Access,Scopus,2-s2.0-85104599691
"Li, N., Canady, T.D., Huang, Q., Wang, X., Fried, G.A., Cunningham, B.T.","57188699534; 52663257200; 56808511600; 55367224600; 7102886839; 7202329774","Photonic resonator interferometric scattering microscopy",2021,"Nature Communications",12,"1", 1744,,,,2,10.1038/s41467-021-21999-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102856618&partnerID=40&md5=0f8d4b0c94c7b44c39bd37b3694ca5a5",Article,Final,Open Access,Scopus,2-s2.0-85102856618
"Kulce, O., Mengu, D., Rivenson, Y., Ozcan, A.","57190174664; 56707418600; 24081473400; 7005667692","All-optical information-processing capacity of diffractive surfaces",2021,"Light: Science and Applications",10,"1", 25,,,,2,10.1038/s41377-020-00439-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099200923&partnerID=40&md5=aa730a927bf3b3ecbdf70ded16d4b7b1",Article,Final,Open Access,Scopus,2-s2.0-85099200923
"Rahman, M.S.S., Li, J., Mengu, D., Rivenson, Y., Ozcan, A.","57221150817; 57204006774; 56707418600; 24081473400; 7005667692","Ensemble learning of diffractive optical networks",2021,"Light: Science and Applications",10,"1", 14,,,,1,10.1038/s41377-020-00446-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099194400&partnerID=40&md5=e728cb71142e186f5991c7eb833a49bf",Article,Final,Open Access,Scopus,2-s2.0-85099194400
"Rigosi, A.F., Levy, A.L., Snure, M.R., Glavin, N.R.","47961303200; 57215111501; 16424479800; 55215003900","Turn of the decade: Versatility of 2D hexagonal boron nitride",2021,"JPhys Materials",4,"3", 032003,,,,,10.1088/2515-7639/abf1ab,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105025768&partnerID=40&md5=82ad0157da294a4685c580466f3fa2b2",Review,Final,Open Access,Scopus,2-s2.0-85105025768
"Gayathri, R., Monika, K., Murukeshan, V.M., Vijayan, C.","57211569063; 57222087053; 7004610068; 6701538334","Low threshold incoherent random lasing with spectral overlap optimization of size-tuned plasmonic nanorods",2021,"Optics and Laser Technology",139,"", 106959,,,,,10.1016/j.optlastec.2021.106959,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101413067&partnerID=40&md5=919606513bb23020fcb379b6a5aef97c",Article,Final,,Scopus,2-s2.0-85101413067
"Yuzhakova, A., Salimgareev, D., Turabi, A., Korsakov, A., Zhukova, L.","57222120421; 56459099300; 57214136941; 25927265600; 36103707600","Thermally stimulated ionic conductivity study of the AgCl – AgBr, AgBr – AgI, AgBr – TlBr<inf>0.46</inf>I<inf>0.54</inf> crystals systems",2021,"Optics and Laser Technology",139,"", 106995,,,,,10.1016/j.optlastec.2021.106995,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101154679&partnerID=40&md5=bf7bacb1bd0364d34f0bd36c07e6bc05",Article,Final,,Scopus,2-s2.0-85101154679
"Su, G., Su, H., Hu, L., Qin, Z., Shen, X., Ding, J., Liu, F., Lu, M., Zhan, P., Liu, Y.","57193330178; 57201999006; 57218290028; 57207452021; 57220860305; 55463424000; 35490891300; 55491045400; 26868316300; 27467442000","Demonstration of microwave plasmonic-like vortices with tunable topological charges by a single metaparticle",2021,"Applied Physics Letters",118,"24", 241106,,,,,10.1063/5.0053834,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108115722&partnerID=40&md5=b6d12f7475bfec1de812f0a1babca21e",Article,Final,Open Access,Scopus,2-s2.0-85108115722
"Jia, Y., Wang, S., Tan, Y., Wang, L., Chen, F.","41261703400; 57208307500; 18134792400; 57196330258; 7404908162","Fabrication and applications of dielectric optical crystalline waveguides | 介电晶体光波导的制备及其应用",2021,"Kexue Tongbao/Chinese Science Bulletin",66,"16",,1968,1982,,1,10.1360/TB-2020-1686,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108105732&partnerID=40&md5=a3d292c29ed6e6a68e65c6b49b4e7c06",Review,Final,Open Access,Scopus,2-s2.0-85108105732
"Potma, E.O.","6701581348","Squeezed light improves sensitivity of microscopy technique",2021,"Nature",594,"7862",,180,181,,,10.1038/d41586-021-01514-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107912061&partnerID=40&md5=e1b0cd6e6ab3220fa1edc49cfc8e9ec0",Note,Final,,Scopus,2-s2.0-85107912061
[No author name available],[No author name available],"Corrigendum to: An experimental study of the feasibility of phase-based video magnification for damage detection and localisation in operational deflection shapes (Strain, (2020), 56, 1, 10.1111/str.12336)",2021,"Strain",57,"3", e12380,,,,,10.1111/str.12380,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103539604&partnerID=40&md5=b11dacec034854672a479ce999387a3f",Erratum,Final,Open Access,Scopus,2-s2.0-85103539604
"Utyushev, A.D., Zakomirnyi, V.I., Rasskazov, I.L.","57214236892; 57191536746; 55768024900","Collective lattice resonances: Plasmonics and beyond",2021,"Reviews in Physics",6,"", 100051,,,,6,10.1016/j.revip.2021.100051,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099622712&partnerID=40&md5=7c774f83bed18c977757a5d99f6cc399",Review,Final,Open Access,Scopus,2-s2.0-85099622712
"Langenbucher, A., Schrecker, J., Schwemm, M., Eppig, T., Schröder, S., Szentmáry, N.","7006810944; 55313965400; 57218440999; 24586753800; 57111592100; 6508023578","Monte Carlo simulation of biometric effect sizes and their influence on the translational ratio of corneal astigmatism in the cylinders of toric intraocular lenses | Monte-Carlo-Simulation biometrischer Effektgrößen und deren Einfluss auf das Übersetzungsverhältnis des Hornhautastigmatismus in den Zylinder torischer Intraokularlinsen",2021,"Ophthalmologe",118,"6",,569,577,,,10.1007/s00347-020-01199-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089181700&partnerID=40&md5=a0d7538c7f78c27acaae5740d9e4bc57",Article,Final,Open Access,Scopus,2-s2.0-85089181700
"Zhong, R.-Y., Zhu, Z.-H., Wu, H.-J., Rosales-Guzmán, C., Song, S.-W., Shi, B.-S.","57222808785; 56447386400; 57207198907; 55350783400; 55469538900; 7402547042","Gouy-phase-mediated propagation variations and revivals of transverse structure in vectorially structured light",2021,"Physical Review A",103,"5", 053520,,,,,10.1103/PhysRevA.103.053520,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107121935&partnerID=40&md5=deaed20f86579b6607804f678fb66cad",Article,Final,,Scopus,2-s2.0-85107121935
"Cai, Z., Li, Z., Ravaine, S., He, M., Song, Y., Yin, Y., Zheng, H., Teng, J., Zhang, A.","28567578100; 57193910077; 7003541260; 57193457422; 7404920971; 7403273617; 56402217900; 55614179000; 57223964885","From colloidal particles to photonic crystals: Advances in self-assembly and their emerging applications",2021,"Chemical Society Reviews",50,"10",,5898,5951,,,10.1039/d0cs00706d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106639908&partnerID=40&md5=223f667021af1a272af417791f224eae",Review,Final,,Scopus,2-s2.0-85106639908
"Lee, C., Lawrie, B., Pooser, R., Lee, K.-G., Rockstuhl, C., Tame, M.","36542879700; 26030513800; 6507883286; 35248589800; 14033188600; 8922772400","Quantum Plasmonic Sensors",2021,"Chemical Reviews",121,"8",,4743,4804,,,10.1021/acs.chemrev.0c01028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104917827&partnerID=40&md5=25358268470ffd9de08a9b33be488964",Article,Final,,Scopus,2-s2.0-85104917827
[No author name available],[No author name available],"A pioneering photographic method shows its true colours",2021,"Nature",592,"7855",,491,,,,10.1038/d41586-021-00931-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105698475&partnerID=40&md5=9bb1701566c4c3abe607cba17516125e",Note,Final,,Scopus,2-s2.0-85105698475
[No author name available],[No author name available],"One screen, three images - some invisible in ordinary light",2021,"Nature",592,"7854",,329,,,,10.1038/d41586-021-00904-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104276470&partnerID=40&md5=7ce5582abd76f3661e6a6dc883c9d1e5",Note,Final,,Scopus,2-s2.0-85104276470
"Kostyukov, A.S., Rasskazov, I.L., Gerasimov, V.S., Polyutov, S.P., Karpov, S.V., Ershov, A.E.","57210464085; 55768024900; 7201614977; 6507259627; 23004910500; 36494186400","Multipolar lattice resonances in plasmonic finite-size metasurfaces",2021,"Photonics",8,"4", 109,,,,,10.3390/photonics8040109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104195527&partnerID=40&md5=90f52c25464656bc54ba1b37de7ce9aa",Article,Final,Open Access,Scopus,2-s2.0-85104195527
[No author name available],[No author name available],"Device sketches objects 200 kilometres away, one photon at a time",2021,"Nature",592,"7853",,169,,,,10.1038/d41586-021-00828-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103744506&partnerID=40&md5=72cba0d5c3fe35a5e01a34c2fc353c51",Note,Final,Open Access,Scopus,2-s2.0-85103744506
"Toschke, Y., Bourdon, B., Berben, D., Imlau, M.","57209639748; 57194875633; 6602321773; 7003856120","A modular optical honeycomb breadboard realized with 3D-printable building bricks and industrial aluminum extrusions",2021,"HardwareX",9,"", e00182,,,,,10.1016/j.ohx.2021.e00182,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102259344&partnerID=40&md5=d606026c5c5af04de5797dc78613bdfa",Article,Final,Open Access,Scopus,2-s2.0-85102259344
"Nasiri, Z., Fallah, H., Hajimahmoodzadeh, M., Mardiha, M.","56602751800; 55882465000; 8350459000; 57214008960","Investigation of the laser induced damage thresholds of all-dielectric and metal-dielectric mirrors for a continuous wave at 10.6 μm",2021,"Optical Materials",114,"", 110936,,,,,10.1016/j.optmat.2021.110936,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101353601&partnerID=40&md5=61536c8f35a3addd1a7a6f8fcb8f9591",Article,Final,,Scopus,2-s2.0-85101353601
"Wang, Z., Mo, J.-T., Chen, L., Zhu, C.-Y., Zhang, Q.-S., Yu, Y.-Q., Pan, M.","55826256200; 57208086108; 57192609323; 57202350808; 57200201685; 57221763443; 14420301600","Optical Waveguide Color Tuning by Fluorescence–Phosphorescence Dual Emission and Disparity of Optical Losses",2021,"Advanced Optical Materials",9,"7", 2001591,,,,,10.1002/adom.202001591,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100092073&partnerID=40&md5=b3ccd41e55da066226b9010629ece425",Article,Final,,Scopus,2-s2.0-85100092073
"Jiang, N., Davies, S., Jiao, Y., Blyth, J., Butt, H., Montelongo, Y., Yetisen, A.K.","57221747636; 57222155219; 57222150075; 6701547874; 57007849400; 55489701300; 55981394200","Doubly Photopolymerized Holographic Sensors",2021,"ACS Sensors",6,"3",,915,924,,1,10.1021/acssensors.0c02109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101710715&partnerID=40&md5=a76bb2101860850e57b10794b3bf47c8",Article,Final,,Scopus,2-s2.0-85101710715
"Kim, S.-J.","56541834200","Diffractive VO<inf>2</inf> metagrating for strong multi-objective amplitude modulation of optical reflection",2021,"Applied Optics",60,"9",,2483,2487,,,10.1364/AO.417128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102981474&partnerID=40&md5=ca81f8e5feb77628e92235727440b2ae",Article,Final,,Scopus,2-s2.0-85102981474
"Lan, P., Lu, P.","12139504900; 7402292862","Generation and control of attosecond laser pulse | 阿秒激光脉冲的产生与操控",2021,"Kexue Tongbao/Chinese Science Bulletin",66,"8",,847,855,,2,10.1360/TB-2020-0725,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103119005&partnerID=40&md5=829696c349d2335f0f50dac173ad1f9a",Article,Final,Open Access,Scopus,2-s2.0-85103119005
"Chatzipetrou, M., Gounaridis, L., Tsekenis, G., Dimadi, M., Vestering-Stenger, R., Schreuder, E.F., Trilling, A., Besselink, G., Scheres, L., van der Meer, A., Lindhout, E., Heideman, R.G., Leeuwis, H., Graf, S., Volden, T., Ningler, M., Kouloumentas, C., Strehle, C., Revol, V., Klinakis, A., Avramopoulos, H., Zergioti, I.","54933201500; 56342504900; 23989736700; 57222482988; 56387612200; 55350041400; 37762247700; 6602143529; 18438360100; 57215088103; 57211606304; 7006251613; 57199236188; 37118796000; 56618862100; 6507360347; 16550437700; 57222481346; 36170983000; 7801323374; 7004889705; 7004705282","A miniature bio-photonics companion diagnostics platform for reliable cancer treatment monitoring in blood fluids",2021,"Sensors",21,"6", 2230,,,,1,10.3390/s21062230,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102812628&partnerID=40&md5=33c842b34e589322a2d0bb468afe383e",Article,Final,Open Access,Scopus,2-s2.0-85102812628
"Savage, N.","57220949587","How quantum diamonds work: from imaging magnetic fields to detecting viruses",2021,"Nature",591,"7851",,S38,S39,,,10.1038/d41586-021-00743-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103504154&partnerID=40&md5=0b927698bc0b8cc5283a09e852e77dff",Note,Final,Open Access,Scopus,2-s2.0-85103504154
"Savage, N.","57220949587","Quantum diamond sensors",2021,"Nature",591,"7851",,S37,,,,10.1038/d41586-021-00742-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103477639&partnerID=40&md5=00b9d2e5ace4a6cbeea6094e2cbf6f6c",Note,Final,Open Access,Scopus,2-s2.0-85103477639
[No author name available],[No author name available],"A quantum light source outshines a competitor 1,000-fold",2021,"Nature",591,"7850",,348,,,,10.1038/d41586-021-00636-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102965353&partnerID=40&md5=84c6d981fb5f9b1dc11d1fe744222cb6",Note,Final,Open Access,Scopus,2-s2.0-85102965353
"Sivaraman, V., Janarthanam, J.B.","57000146400; 57222145733","Computer vision syndrome in the time of COVID-19: Is blue-blocking lens a panacea for digital eye strain?",2021,"Indian Journal of Ophthalmology",69,"3",,779,,,,10.4103/ijo.IJO_3786_20,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101710733&partnerID=40&md5=5a8429337cde1d2c41d6a6fab8e7683a",Letter,Final,Open Access,Scopus,2-s2.0-85101710733
"Khatib, Z.I., Haldipurkar, S.S., Shetty, V., Dahake, H., Nagvekar, P., Kashelkar, P.","57214878179; 15759572900; 56959986300; 57222151371; 57215523469; 57220076299","Comparison of three newer generation freely available intraocular lens power calculation formulae across all axial lengths",2021,"Indian Journal of Ophthalmology",69,"3",,580,584,,1,10.4103/ijo.IJO_943_20,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101710536&partnerID=40&md5=f2992fb34c95364b6da2cab584b44e21",Article,Final,Open Access,Scopus,2-s2.0-85101710536
"Khadem Sadigh, M., Naziri, P., Zakerhamidi, M.S., Ranjkesh, A., Yoon, T.-H.","57190090930; 57221692440; 6508183855; 25641532700; 57221694621","Temperature dependent features of polymer stabilized cholesteric liquid crystals based on selected liquid crystal characteristics",2021,"Optik",230,"", 166354,,,,,10.1016/j.ijleo.2021.166354,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099873369&partnerID=40&md5=7ce00204ab58f175274cd13064d3ee87",Article,Final,,Scopus,2-s2.0-85099873369
"Kotz, F., Quick, A.S., Risch, P., Martin, T., Hoose, T., Thiel, M., Helmer, D., Rapp, B.E.","56556904300; 57200138633; 57201069447; 57221529310; 55745664900; 23986092700; 56643027500; 15770227400","Two-Photon Polymerization of Nanocomposites for the Fabrication of Transparent Fused Silica Glass Microstructures",2021,"Advanced Materials",33,"9", 2006341,,,,1,10.1002/adma.202006341,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099393501&partnerID=40&md5=27b86fe8b0aaccb15131fb6783047e91",Article,Final,Open Access,Scopus,2-s2.0-85099393501
"Mosaddeghian, M., Moradi, M.","57221419581; 35834052300","Establishing a Correction Factor for Oblique Angle Deposition and Its Verification by the Magneto-Optical Kerr Effect",2021,"Journal of Superconductivity and Novel Magnetism",34,"3",,865,873,,,10.1007/s10948-020-05761-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099082276&partnerID=40&md5=14133b050faba37340f9ccaba3ded7ff",Article,Final,,Scopus,2-s2.0-85099082276
"Cheng, H., Wang, L., Kane, J.X., Li, J., Liu, L., Wu, M.","55260767200; 57028540900; 57192012175; 57213599999; 56707757200; 8881176500","Accuracy of Artificial Intelligence Formulas and Axial Length Adjustments for Highly Myopic Eyes",2021,"American Journal of Ophthalmology",223,"",,100,107,,,10.1016/j.ajo.2020.09.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097478621&partnerID=40&md5=8f16255013c87e97c4cb093199c9a1a6",Article,Final,,Scopus,2-s2.0-85097478621
"Yue, Y., Ding, H., Chen, C.","57193758557; 26435026000; 57211656760","Label-free optical antibody testing kit based on a self-assembled whispering-gallery-mode microsphere",2021,"Journal of Biophotonics",14,"3", e202000338,,,,,10.1002/jbio.202000338,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096770079&partnerID=40&md5=2f958d7f12804ae55acd055a6388d7b0",Article,Final,,Scopus,2-s2.0-85096770079
"Nemeth, G., Modis, L.","36481623800; 57188784952","Accuracy of the Hill–radial basis function method and the Barrett Universal II formula",2021,"European Journal of Ophthalmology",31,"2",,566,571,,3,10.1177/1120672120902952,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078740687&partnerID=40&md5=771fa34157ca890a8738dd0fa40fde02",Article,Final,,Scopus,2-s2.0-85078740687
"Doosti, A., Keshavarzi, A., Safari Yazd, N., Leriche, A.","57221960162; 54795253700; 57218837148; 7005132249","Laser-induced and space-selective crystallization of yttrium aluminum garnet crystal from SiO<inf>2</inf>/Al<inf>2</inf>O<inf>3</inf>/Y<inf>2</inf>O<inf>3</inf>/KF/Na<inf>2</inf>O/AlF<inf>3</inf>/B<inf>2</inf>O<inf>3</inf>glass system",2021,"CrystEngComm",23,"5",,1110,1116,,1,10.1039/d0ce01165g,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100728428&partnerID=40&md5=839acda5d73d02efab35abba91d6174b",Article,Final,,Scopus,2-s2.0-85100728428
"Elegbeleye, I.F., Maluta, N.E., Maphanga, R.R.","57204395436; 56805179300; 8947297900","Density functional theory study of optical and electronic properties of (TiO<inf>2</inf>)<inf>n=5,8,68</inf> clusters for application in solar cells",2021,"Molecules",26,"4", 955,,,,1,10.3390/molecules26040955,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102608563&partnerID=40&md5=31109957bf653f9f598863139905bd81",Article,Final,Open Access,Scopus,2-s2.0-85102608563
"Alwis, L.S.M., Bremer, K., Roth, B.","37009687500; 27567455800; 57203036967","Editorial on special issue “modern applications in optics and photonics: From sensing and analytics to communication”",2021,"Applied Sciences (Switzerland)",11,"4", 1589,1,3,,,10.3390/app11041589,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101284211&partnerID=40&md5=aa48d9779c06602d287afaf3caa274a8",Editorial,Final,Open Access,Scopus,2-s2.0-85101284211
"Brynes, A.","57222267655","Accelerator-based light sources get a boost",2021,"Nature",590,"7847",,556,557,,,10.1038/d41586-021-00431-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102097453&partnerID=40&md5=d73db6e020658944130256873e9635cd",Note,Final,Open Access,Scopus,2-s2.0-85102097453
"De Giorgi, M.L., Milanese, S., Klini, A., Anni, M.","36865565800; 57217585813; 6602825270; 7004918745","Environment-induced reversible modulation of optical and electronic properties of lead halide perovskites and possible applications to sensor development: A review",2021,"Molecules",26,"3", 705,,,,1,10.3390/molecules26030705,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101480077&partnerID=40&md5=f772f7aea68779bc4b8b6be9d60ae95c",Review,Final,Open Access,Scopus,2-s2.0-85101480077
"Bernhardt, N., Kim, S., Fröch, J.E., White, S.J.U., Duong, N.M.H., He, Z., Chen, B., Liu, J., Aharonovich, I., Solntsev, A.S.","57218189728; 54583673000; 55972170800; 57204733180; 57201383789; 57222027627; 57221144870; 57222017573; 25622611600; 26431125600","Large few-layer hexagonal boron nitride flakes for nonlinear optics",2021,"Optics Letters",46,"3",,564,567,,1,10.1364/OL.416564,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101002436&partnerID=40&md5=23c390e75546e10b2b00212f7e124ea1",Article,Final,,Scopus,2-s2.0-85101002436
"Suarez-Ibarrola, R., Braun, L., Pohlmann, P.F., Becker, W., Bergmann, A., Gratzke, C., Miernik, A., Wilhelm, K.","57188965206; 57209452630; 57215606828; 57169598400; 57210687845; 10439205000; 41762236700; 54986748000","Metabolic Imaging of Urothelial Carcinoma by Simultaneous Autofluorescence Lifetime Imaging (FLIM) of NAD(P)H and FAD",2021,"Clinical Genitourinary Cancer",19,"1",,e31,e36,,,10.1016/j.clgc.2020.07.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089157669&partnerID=40&md5=28ff528beda99d7de47837ec323f656e",Article,Final,,Scopus,2-s2.0-85089157669
"Yuan, Z., Tan, X., Gong, X., Gong, C., Cheng, X., Feng, S., Fan, X., Chen, Y.-C.","57214334302; 57194202001; 57217856604; 56921296200; 57210289931; 56349115800; 57216997509; 57189644716","Bioresponsive microlasers with tunable lasing wavelength",2021,"Nanoscale",13,"3",,1608,1615,,1,10.1039/d0nr07921a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100249342&partnerID=40&md5=5d0fdd4d29200f96b7cbda28e04305fa",Article,Final,,Scopus,2-s2.0-85100249342
"Iyer, V., Retterer, S.T., Fowlkes, J., Jesse, S., Puretzky, A.A., Hachtel, J.A., Rack, P.D., Lawrie, B.J.","57224199676; 15761044100; 7006645136; 6602110423; 7004325547; 16743832900; 7005507264; 26030513800","In situ electron-beam processing and cathodoluminescence microscopy for quantum nanophotonics",2021,"Proceedings of SPIE - The International Society for Optical Engineering",11675,"", 2578528,,,,,10.1117/12.2578528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107212988&partnerID=40&md5=8796afa54358f4dd78042e7b596bcff6",Conference Paper,Final,,Scopus,2-s2.0-85107212988
"Sonth, M.V., Srikanth, G., Agrawal, P., Premalatha, B.","57201792090; 57211531776; 56238103700; 57202076626","Basic logic gates in two dimensional photonic crystals for all optical device design",2021,"International Journal of Electronics and Telecommunications",67,"2",,247,261,,,10.24425/ijet.2021.135972,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106685400&partnerID=40&md5=3a423c8e955cee30eeed84fc507da660",Article,Final,,Scopus,2-s2.0-85106685400
"Yuan, Z., Zhou, Y., Qiao, Z., Eng Aik, C., Tu, W.-C., Wu, X., Chen, Y.-C.","57214334302; 57191657023; 57217420896; 57223891031; 36624345600; 57202826444; 57189644716","Stimulated Chiral Light-Matter Interactions in Biological Microlasers",2021,"ACS Nano",,"",,,,,,10.1021/acsnano.1c01805,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106356351&partnerID=40&md5=f84d8cba157cd6a9f8eee7e6f5caddc0",Article,Article in Press,,Scopus,2-s2.0-85106356351
[No author name available],[No author name available],"Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XIV",2021,"Proceedings of SPIE - The International Society for Optical Engineering",11696,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106201971&partnerID=40&md5=b451945c105fa27b3ae4fd1643a3d2dc",Conference Review,Final,,Scopus,2-s2.0-85106201971
"Xiong, Z., Soman, P.","56110091000; 16744530900","Digital printing of hydrogel based diffractive optical elements",2021,"Proceedings of SPIE - The International Society for Optical Engineering",11696,"", 116960X,,,,,10.1117/12.2576893,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106177822&partnerID=40&md5=3e539dc60eb55dea1aff4c8d14e56722",Conference Paper,Final,,Scopus,2-s2.0-85106177822
"Madsen, A.E.G., Eriksen, R.L., Glückstad, J.","57223607733; 7004518688; 7004233929","Algorithmic considerations for complex light",2021,"Proceedings of SPIE - The International Society for Optical Engineering",11701,"", 1170116,,,,,10.1117/12.2583505,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105909014&partnerID=40&md5=baea77c1eeecd52fceed91cc03b2ba82",Conference Paper,Final,,Scopus,2-s2.0-85105909014
"Li, J., Wuenschell, J., Li, Z., Bera, S., Liu, K., Tang, R., Du, H., Ohodnicki, P.R., Shen, S.","57194605011; 14018550600; 57219910862; 56647714200; 57189848139; 57212646533; 57211286517; 6508263970; 16424657500","Fiber Coupled Near-Field Thermoplasmonic Emission from Gold Nanorods at 1100 K",2021,"Small",,"",,,,,,10.1002/smll.202007274,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102464281&partnerID=40&md5=36d742d07786a44395a4e85e2961a813",Article,Article in Press,,Scopus,2-s2.0-85102464281
"Venkatesan, G.","57190670267","Third-order nonlinear and linear optical properties of N-acetyl glycine hydrochloride crystal for optical applications",2021,"Journal of Optics (India)",,"",,,,,1,10.1007/s12596-021-00696-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102194717&partnerID=40&md5=dd34147000b993165286ed0435788ad7",Article,Article in Press,,Scopus,2-s2.0-85102194717
"Rotenberg, M.Y., Schaumann, E.N., Prominski, A., Tian, B.","55307495700; 55875757000; 56451199200; 56640576700","Silicon nanowires and optical stimulation for investigations of intra- and intercellular electrical coupling",2021,"Journal of Visualized Experiments",2021,"167", e61581,,,,,10.3791/61581,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101472229&partnerID=40&md5=4cf4fa9d584cbfdef3e2fdba901b301b",Article,Final,,Scopus,2-s2.0-85101472229
"Saunders, N.","57211799441","UCF continues its odyssey with optics: As part of a new series that follows student researchers making exciting contributions to the display world, we explore why the university of central Florida’s college of optics and photonics is lauded by industry and academia",2021,"Information Display",37,"1",,5,,,,10.1002/msid.1174,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100508775&partnerID=40&md5=dc7bad9de9b44534ede1a4aed972a1c5",Article,Final,Open Access,Scopus,2-s2.0-85100508775
"Wu, H., Dai, Q.","57221823942; 57221822689","Artificial intelligence accelerated by light",2021,"Nature",589,"7840",,25,26,,4,10.1038/d41586-020-03572-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100324399&partnerID=40&md5=ca0a923da598d710591181466a70b27a",Note,Final,,Scopus,2-s2.0-85100324399
